country_code,country_name
AU,Australia
AT,Austria
BE,Belgium
CA,Canada
CH,Switzerland
CZ,Czech Republic
DE,Germany
DK,Denmark
ES,Spain
FI,Finland
FR,France
GB,United Kingdom
UK,United Kingdom
IC,Iceland
IS,Iceland
IT,Italy
LI,Liechtenstein
LT,Lithuania
NL,Netherlands
NO,Norway
PL,Poland
PO,Portugal
PT,Portugal
SE,Sweden
SW,Sweden
US,United States
Australia, Australia
Austria, Austria
Belgium, Belgium
Canada, Canada
Switzerland, Switzerland
Czech Republic, Czech Republic
Czech, Czech Republic
Germany, Germany
Denmark, Denmark
Spain, Spain
Finland, Finland
France, France
United Kingdom, United Kingdom
Iceland, Iceland
Italy, Italy
Liechtenstein, Liechtenstein
Lithuania, Lithuania
Netherlands, Netherlands
Norway,Norway
Poland,Poland
Portugal,Portugal
Sweden,Sweden
United States,United States
USA,United States